Date,Open,High,Low,Close,Adjusted_close,Volume
2023-02-27,3390,3390,3316,3331.85,3274.9872,1128022
2023-02-28,3328.5,3392,3299.9,3312.85,3256.3114,4116217
2023-03-01,3323,3389,3315,3385.7,3327.9182,1669307
2023-03-02,3361,3369.9,3318,3321.45,3264.7647,1556538
2023-03-03,3354,3358,3331.1,3342.15,3285.1114,1043190
2023-03-06,3361.9,3404.95,3359,3371.85,3314.3045,1334132
2023-03-08,3364,3396,3330.85,3390.4,3332.5379,1844590
2023-03-09,3385,3385,3330.85,3336.85,3279.9018,1648500
2023-03-10,3312.9,3337.25,3290,3331,3274.1517,1024404
2023-03-13,3333,3369.8,3272,3281.95,3225.9388,1901233
2023-03-14,3280,3304.4,3209.4,3214.95,3160.0822,2670334
2023-03-15,3250,3260.35,3192,3198.9,3144.3062,1780522
2023-03-16,3208,3219.8,3172,3185,3130.6434,1901060
2023-03-17,3150.5,3221.4,3144,3179.3,3125.0407,6739966
2023-03-20,3169.65,3169.65,3095.05,3143.3,3089.6551,2289468
2023-03-21,3143.3,3156.75,3097.45,3106.1,3053.0899,1815297
2023-03-22,3130.05,3143.5,3106.1,3130.8,3077.3684,1123939
2023-03-23,3114.9,3146.35,3101,3124.65,3071.3233,1372218
2023-03-24,3148.9,3170,3106,3120.5,3067.2442,1329577
2023-03-27,3135,3152.75,3106,3122.3,3069.0135,1524217
2023-03-28,3127,3149.55,3110.15,3115.9,3062.7227,1303530
2023-03-29,3129,3150,3104.1,3138.9,3085.3301,1740616
2023-03-31,3189.95,3213,3152,3205.9,3151.1867,2382581
2023-04-03,3224.95,3224.95,3173.75,3200,3145.3874,1521830
2023-04-05,3185.5,3264.35,3185.5,3239.8,3184.5081,2655065
2023-04-06,3225,3257.35,3215,3220.7,3165.7341,1703464
2023-04-10,3220,3272,3215,3263.4,3207.7054,2203187
2023-04-11,3264,3272.95,3192.15,3213.8,3158.9519,2348779
2023-04-12,3227.95,3260.95,3199,3241.65,3186.3266,2417727
2023-04-13,3210,3230,3180,3188.85,3134.4277,4174070
2023-04-17,3134.1,3163.4,3070.25,3139.5,3085.9199,5505048
2023-04-18,3154.95,3156.85,3110.6,3130.75,3077.3192,2617302
2023-04-19,3130.75,3140,3071.5,3089.6,3036.8715,3298034
2023-04-20,3090,3113,3078,3104.8,3051.8121,2419999
2023-04-21,3110,3164.45,3100.8,3160.85,3106.9055,1929184
2023-04-24,3151.1,3180.95,3126.15,3174.8,3120.6175,1640676
2023-04-25,3183,3191.2,3147.5,3176,3121.797,2024090
2023-04-26,3181,3208.4,3181,3198.15,3143.569,2000029
2023-04-27,3185,3199.2,3170.65,3187.95,3133.543,2434446
2023-04-28,3200.4,3227.25,3196.25,3219.25,3164.3089,2931312
2023-05-02,3235,3235,3210,3219.4,3164.4563,2321159
2023-05-03,3216,3216,3173.15,3179.9,3125.6304,2468285
2023-05-04,3180.15,3224.45,3178,3220.7,3165.7341,1953253
2023-05-05,3220,3244,3210.05,3230.7,3175.5634,1710027
2023-05-08,3245,3254.85,3231.3,3250.6,3195.1238,928235
2023-05-09,3252.6,3298,3246,3283.25,3227.2166,1107375
2023-05-10,3290,3306.5,3266.05,3286.8,3230.706,1559987
2023-05-11,3309,3309.7,3272,3282.15,3226.1354,1719623
2023-05-12,3279.15,3290,3260,3274.3,3218.4194,1027479
2023-05-15,3284,3292,3248.35,3255.05,3199.4979,1150390
2023-05-16,3256.2,3285,3250.45,3258.15,3202.545,986306
2023-05-17,3255.95,3280,3198.25,3208.7,3153.9389,1588815
2023-05-18,3225.95,3228.95,3195,3199.85,3145.2399,1369364
2023-05-19,3210,3234.5,3203.05,3222.85,3167.8474,1152449
2023-05-22,3230,3308.45,3217.05,3298.7,3242.4029,1333243
2023-05-23,3306,3327.95,3290.1,3297.05,3240.7811,1687418
2023-05-24,3276,3317.2,3276,3303.35,3246.9736,1016555
2023-05-25,3294,3306,3267.1,3293.5,3237.2917,1374917
2023-05-26,3293.5,3338.65,3291,3328.9,3272.0875,1791115
2023-05-29,3360.8,3372,3312,3320.35,3263.6834,1210372
2023-05-30,3315,3326.95,3301.35,3316.2,3259.6043,1344224
2023-05-31,3309,3327.7,3265.15,3289.5,3233.3599,5815424
2023-06-01,3314,3340,3297.5,3324,3267.2711,1177314
2023-06-02,3326.25,3335.9,3297.45,3305.6,3249.1852,2030661
2023-06-05,3315,3327,3285.05,3288.9,3232.7702,1861468
2023-06-06,3280,3288.85,3220.6,3232.3,3177.1361,2022849
2023-06-07,3253,3278.85,3241,3274.9,3219.0091,1567196
2023-06-08,3261,3270,3233,3236.45,3181.2153,1759366
2023-06-09,3245,3250,3205.35,3209.3,3154.5287,1775689
2023-06-12,3215,3254.4,3211,3246.9,3191.487,2324605
2023-06-13,3260,3265,3239,3243.7,3188.3416,1371928
2023-06-14,3243.7,3255.85,3225.85,3251.05,3195.5661,1658544
2023-06-15,3245.3,3247.45,3210,3216.3,3184.921,2273810
2023-06-16,3197,3199.4,3156,3174.9,3143.9249,4156189
2023-06-19,3190,3214.9,3175,3210.4,3179.0786,1468186
2023-06-20,3214,3232.5,3201.05,3227.7,3196.2098,1528452
2023-06-21,3250,3261.4,3223.95,3258.2,3226.4122,1645987
